Course Title, Full Title, Prerequisite
AAS 100,Intro Asian American Studies,NULL
AAS 215,US Citizenship Comparatively,AAS 100 AAS 120 AFRO 100 AIS 101 GWS 250 LLS 100 
AAS 260,Intro Asian American Theatre,NULL
AAS 265,Politics of Hip Hop,NULL
AAS 281,Constructing Race in America,NULL
AAS 283,Asian American History,NULL
AAS 286,Asian American Literature,NULL
AAS 297,Asian Families in America,NULL
AAS 300,Theories of Race  Gender  and Sexuality,NULL
AAS 310,Race and Cultural Diversity,NULL
AAS 315,War  Memory  and Cinema,AAS 100 AAS 120 
AAS 343,Criminalization and Punishment,NULL
AAS 365,Asian American Media and Film,NULL
AAS 390,Intermed Topics Asian Am St,NULL
ABE 141,ABE Principles: Biological,NULL
ABE 199,Undergraduate Open Seminar,NULL
ABE 225,ABE Principles: Bioenvironment,MATH 220 MATH 221 MATH 234 
ABE 226,ABE Principles: Bioprocessing,MATH 220 MATH 221 MATH 234 
ABE 397,Independent Study,NULL
ABE 425,Engrg Measurement Systems,ECE 205 
ABE 440,Applied Statistical Methods I,NULL
ABE 446,Biological Nanoengineering,MCB 150 
ABE 456,Land & Water Resources Engrg,TAM 335 
ABE 457,NPS Pollution Processes,ABE 224 CEE 350 
ABE 458,NPS Pollution Modeling,ABE 457 
ABE 469,Industry-Linked Design Project,ABE 361 CHBE 421 TAM 335 ME 370 
ABE 474,Indoor Environmental Control,TAM 335 ME 300 CHBE 321 
ABE 497,Independent Study,NULL
ABE 498,Special Topics,NULL
ABE 594,Graduate Seminar,NULL
ABE 597,Independent Study,NULL
ABE 598,Special Topics,NULL
ABE 599,Thesis Research,NULL
ACCY 199,Undergraduate Open Seminar,NULL
ACCY 200,Fundamentals of Accounting,NULL
ACCY 201,Accounting and Accountancy I,ECON 102 ECON 103 
ACCY 202,Accounting and Accountancy II,ACCY 201 
ACCY 290,Prof Internship in Accountancy,ACCY 201 ACCY 202 
ACCY 301,Atg Measurement & Disclosure,ACCY 202 ACCY 302 
ACCY 302,Decision Making for Atg,ACCY 202 BADM 210 ACCY 301 
ACCY 303,Atg Institutions and Reg,ACCY 301 ECON 302 FIN 221 
ACCY 304,Accounting Control Systems,ACCY 301 ACCY 302 BADM 310 
ACCY 312,Principles of Taxation,ACCY 202 
ACCY 321,Principles of Public Policy,NULL
ACCY 398,Practical Problems in Atg,NULL
ACCY 405,Assurance and Attestation,ACCY 304 
ACCY 410,Advanced Financial Reporting,ACCY 303 
ACCY 415,Auditing Stds and Practice,ACCY 304 
ACCY 451,Advanced Income Tax Problems,ACCY 312 
ACCY 499,Senior Research,NULL
ACCY 501,Accounting Analysis I,NULL
ACCY 502,Accounting Analysis II,ACCY 501 
ACCY 503,Managerial Accounting,ACCY 501 
ACCY 506,Advanced Topics in Accounting,ACCY 501 ACCY 502 
ACCY 507,Taxation of Business Entities,ACCY 505 
ACCY 510,Financial Reporting Standards,ACCY 410 
ACCY 512,Data Analytics for Management Accounting,NULL
ACCY 515,Auditing & Assurance Standards,ACCY 405 
ACCY 517,Financial Statement Analysis,ACCY 410 ACCY 500 ACCY 502 
ACCY 518,Financial Statement Fraud,NULL
ACCY 552,Partnership Income Taxation,ACCY 451 ACCY 556 
ACCY 571,Statistical Analyses for Accountancy,NULL
ACCY 575,Data Analytics Applications in Accountancy,ACCY 570 
ACCY 593,Special Research Problems,NULL
ACCY 595,Models of Decision and Choice,NULL
ACCY 599,Thesis Research,NULL
ACE 100,Agr Cons and Resource Econ,NULL
ACE 161,Microcomputer Applications,NULL
ACE 199,Undergraduate Open Seminar,NULL
ACE 210,Environmental Economics,NULL
ACE 222,Agricultural Marketing,NULL
ACE 231,Food and Agribusiness Mgt,NULL
ACE 232,Farm Management,NULL
ACE 240,Personal Financial Planning,NULL
ACE 251,The World Food Economy,ACE 100 ECON 102 
ACE 254,Economic Systems in Africa,NULL
ACE 255,Economics of Food and Environmental Justice,ACE 100 ECON 102 
ACE 261,Applied Statistical Methods,MATH 124 MATH 125 
ACE 270,Consumer Economics,NULL
ACE 292,Farm  Food & Environmental Policy,NULL
ACE 293,Off-Campus Internship,NULL
ACE 294,On-Campus Internship,NULL
ACE 295,Independent Study,NULL
ACE 310,Natural Resource Economics,ACE 100 ECON 102 
ACE 321,Principles of Public Policy,NULL
ACE 341,Issues&Careers in Applied Econ,NULL
ACE 360,Spreadsheet Models & Applic,ACE 100 ACE 161 CS 105 ACE 261 ECON 203 
ACE 396,Honors Research or Thesis,NULL
ACE 398,Seminar,NULL
ACE 403,Agricultural Law,NULL
ACE 427,Commodity Price Analysis,ACE 100 ECON 102 ACE 261 
ACE 428,Commodity Futures and Options,ACE 222 FIN 300 
ACE 430,Food Marketing,ACE 100 ECON 102 ACE 222 
ACE 431,Agri-food Strategic Management,ACE 231 BADM 320 ACE 222 
ACE 435,Global Agribusiness Management,ACE 231 ACE 222 BADM 320 
ACE 440,Finan Plan for Professionals,ACE 345 ACE 346 ACE 444 ACE 449 
ACE 444,Finan Serv & Invest Plan,ACE 240 ACE 345 FIN 221 ECON 302 
ACE 446,Modeling App's Finan Plan,ACE 240 ACE 345 FIN 221 ACE 360 
ACE 449,Retirement & Benefit Planning,ACE 240 ACE 345 ECON 302 
ACE 451,Agriculture in Intl Dev,ECON 302 
ACE 456,Agr and Food Policies,ECON 302 
ACE 474,Econ of Consumption,ECON 302 
ACE 476,Behavioral Economics and Financial Decision Making,ECON 302 
ACE 496,Practicum,NULL
ACE 499,Seminar,NULL
ACE 502,Demand/Supply/Firms/Households,ECON 500 ACE 501 
ACE 503,Equilibrium and Welfare Econ,ECON 500 
ACE 528,Research in Futures Markets,ECON 500 
ACE 530,Microeconometrics,ECON 506 ECON 507 
ACE 532,Spatial Econometrics,ACE 562 ACE 564 ECON 535 
ACE 557,Food  Poverty and Development,ACE 500 ACE 504 ECON 500 
ACE 559,Food  Trade and Development,ACE 500 ACE 501 ECON 500 
ACE 561,Adv Res and Scholarly Comm,NULL
ACE 563,Math Program App Econ I,MATH 124 MATH 220 MATH 221 MATH 234 
ACE 567,Math Program App Econ II,ACE 563 
ACE 591,Independent Study,NULL
ACE 592,Special Topics,NULL
ACE 594,Seminars and Workshops,NULL
ACE 599,Thesis Research,NULL
ACES 199,Undergraduate Open Seminar,NULL
ACES 293,International Internship,NULL
ACES 295,Undergrad Research or Thesis,NULL
ACES 298,International Experience,NULL
ACES 299,ACES Study Abroad,NULL
ACES 396,Honors Study Abroad Retrospect,NULL
ACES 399,Honors Seminar,NULL
ACES 499,Interdisciplinary ACES Seminar,NULL
ADV 150,Introduction to Advertising,NULL
ADV 199,Undergraduate Seminar,NULL
ADV 281,Advertising Research Methods,ADV 150 STAT 100 
ADV 283,Advertising and Brand Strategy,ADV 150 ADV 281 
ADV 284,Consumer Insight,ADV 281 
ADV 290,Special Topics in Advertising,NULL
ADV 305,Digital Advertising Content  Technologies and Concepts,ADV 150 
ADV 310,Intro to Public Relations,NULL
ADV 311,Classic Campaigns,NULL
ADV 312,Advertising History,NULL
ADV 315,Emerging Media,NULL
ADV 350,Writing for Public Relations,ADV 310 
ADV 390,Content Creation,ADV 284 
ADV 396,Research Experience in Advertising,ADV 150 ADV 281 
ADV 399,Advertising Study Abroad,NULL
ADV 400,Special Problems,NULL
ADV 409,Media Entrepreneurship,NULL
ADV 410,Public Relations Strategies,ADV 310 
ADV 454,Creative Concepts II,ADV 452 
ADV 460,Innovation in Advertising,ADV 283 ADV 284 
ADV 476,Global Advertising,ADV 150 
ADV 483,Audience Analysis,ADV 283 ADV 284 
ADV 490,Advanced Special Topics in Advertising,NULL
ADV 492,Tech and Advertising Campaigns,CS 225 
ADV 495,Internship Seminar,NULL
ADV 498,The Sandage Project,ADV 283 ADV 390 ADV 460 
ADV 509,Media Entrepreneurship,NULL
ADV 581,Quanti Research Methods in Adv,NULL
ADV 588,Graduate Seminar II,ADV 587 
ADV 590,Special Topics in Advertising,NULL
ADV 594,Advanced Topics in Advertising,NULL
ADV 598,Professional Project,ADV 588 
ADV 599,Thesis Research,ADV 588 
AE 199,Undergraduate Open Seminar,NULL
